league,match_seq,cum_pnl
"Ireland, First Division",8,-280.0
"Ireland, First Division",9,-180.0
"Ireland, First Division",10,-80.0
"Ireland, First Division",11,20.0
"Ireland, First Division",12,-209.99999999999997
"Ireland, First Division",13,-109.99999999999997
"Ireland, First Division",14,-9.999999999999972
"Ireland, First Division",15,90.00000000000003
"Ireland, First Division",16,-159.99999999999997
"Ireland, First Division",17,-59.99999999999997
"Ireland, First Division",18,40.00000000000003
"Ireland, First Division",19,140.00000000000003
"Ireland, First Division",20,240.00000000000003
"Ireland, First Division",21,340.0
"Ireland, First Division",22,440.0
"Ireland, First Division",23,540.0
